"Mill Village",269
"Millersburg",6852
"Millerstown",3791
"Millersville",9580
"Millerton",2445
"Millheim",831
"Millmont",2155
"Millrift",224
"Mills",124
"Millsboro",295
"Millville",3634
"Milnesville",112
"Milroy",3483
"Milton",11521
"Mineral Point",2055
"Mineral Springs",313
"Minersville",4686
"Mingoville",58
"Minisink Hills",186
"Modena",610
"Mohnton",11144
"Mohrsville",3561
"Monaca",13828
"Monessen",8678
"Monocacy Station",0
"Monongahela",12275
"Monroeton",1716
"Monroeville",29394
"Mont Alto",1758
"Mont Clare",1608
"Montandon",624
"Montgomery",5741
"Montgomeryville",5
"Montoursville",12181
"Montrose",8520
"Moosic",5474
"Morann",176
"Morgan",340
"Morgantown",3750
"Morris",811
"Morris Run",309
"Morrisdale",3916
"Morrisville",53212
"Morton",7257
"Moscow",12435
"Moshannon",528
"Mount Aetna",161
"Mount Bethel",3569
"Mount Braddock",0
"Mount Carmel",8174
"Mount Gretna",602
"Mount Holly Springs",3732
"Mount Jewett",1284
"Mount Joy",14224
"Mount Morris",1966
"Mount Pleasant",16451
"Mount Pleasant Mills",2805
"Mount Pocono",3255
"Mount Union",5451
"Mount Wolf",4425
"Mountain Top",14213
"Mountainhome",0
"Mountville",5527
"Muir",224
"Muncy",11955
"Muncy Valley",998
"Munson",342
"Murrysville",12723
"Muse",670
"Myerstown",12397
"Nanticoke",14185
"Nanty Glo",5094
"Narberth",9824
"Narvon",6854
"Natrona Heights",11996
"Nazareth",21384
"Needmore",1809
"Neelyton",220
"Neffs",0
"Nelson",587
"Nemacolin",1034
"Nescopeck",3831
"Nesquehoning",3898
"New Albany",1924
"New Alexandria",3970
"New Baltimore",168
"New Bedford",215
"New Berlin",940
"New Berlinville",221
"New Bethlehem",5075
"New Bloomfield",3911
"New Brighton",14114
"New Buffalo",123
"New Castle",57926
"New Columbia",3363
"New Cumberland",14398
"New Derry",986
"New Eagle",2272
"New Enterprise",1912
"New Florence",3487
"New Freedom",6925
"New Freeport",919
"New Galilee",1863
"New Geneva",0
"New Germantown",0
"New Holland",12821
"New Hope",13199
"New Kensington",41690
"New Kingstown",84
"New London",0
"New Milford",3431
"New Millport",292
"New Oxford",11801
"New Paris",2715
"New Park",1145
"New Philadelphia",1616
"New Providence",4768
"New Ringgold",3122
"New Salem",3087
"New Stanton",3356
"New Tripoli",5049
"New Wilmington",6240
"Newburg",3126
"Newell",551
"Newfoundland",1933
"Newmanstown",4299
"Newport",7051
"Newry",249
"Newton Hamilton",272
"Newtown",27121
"Newtown Square",16203
"Newville",11507
"Nicholson",3564
"Nicktown",721
"Nineveh",133
"Normalville",2570
"Norristown",79507
"North Apollo",1426
"North Bend",477
"North East",14161
"North Springfield",0
"North Versailles",11053
"North Wales",24387
"North Washington",0
"Northampton",15953
"Northern Cambria",6001
"Northpoint",32
"Northumberland",7436
"Norvelt",459
"Norwood",5985
"Nottingham",4873
"Noxen",1486
"Nu Mine",396
"Numidia",0
"Nuremberg",704
"Oak Ridge",239
"Oakdale",9287
"Oakland Mills",119
"Oakmont",6911
"Oaks",0
"Ohiopyle",1176
"Oil City",17758
"Olanta",782
"Old Forge",8798
"Old Zionsville",0
"Oley",3720
"Oliveburg",156
"Oliver",320
"Olyphant",9803
"Oneida",175
"Ono",203
"Orangeville",2802
"Orbisonia",1625
"Orefield",6585
"Oreland",7243
"Orrstown",2631
"Orrtanna",3027
"Orson",0
"Orviston",86
"Orwigsburg",6650
"Osceola",893
"Osceola Mills",3087
"Osterburg",1404
"Ottsville",3645
"Oxford",13340
"Palm",300
"Palmerton",259
"Palmyra",525
"Paoli",6804
"Paradise",3854
"Parker",3245
"Parker Ford",196
"Parkesburg",6294
"Parkhill",0
"Parryville",478
"Patton",3907
"Paupack",254
"Paxinos",1350
"Paxtonville",189
"Peach Bottom",3622
"Peach Glen",0
"Peckville",5410
"Pen Argyl",6506
"Penfield",1457
"Penn",1347
"Penn Run",1692
"Penns Creek",639
"Penns Park",0
"Pennsburg",6975
"Pennsylvania Furnace",2002
"Penryn",0
"Pequea",2315
"Perkasie",21214
"Perkiomenville",5701
"Perryopolis",3691
"Petersburg",2209
"Petrolia",1625
"Philadelphia",1547297
"Philipsburg",8425
"Phoenixville",32944
"Picture Rocks",693
"Pillow",304
"Pine Forge",0
"Pine Grove",8920
"Pine Grove Mills",0
"Pineville",0
"Pipersville",6336
"Pitcairn",3695
"Pitman",764
"Pittsburgh",736800
"Pittsfield",2165
"Pittston",37883
"Plainfield",158
"Pleasant Hall",0
"Pleasant Mount",1028
"Pleasant Unity",570
"Pleasantville",2039
"Plumsteadville",0
"Plumville",326
"Plymouth",9704
"Plymouth Meeting",13692
"Pocono Lake",3034
"Pocono Lake Preserve",0
"Pocono Manor",125
"Pocono Pines",1489
"Pocono Summit",2131
"Pocopson",0
"Point Marion",2501
"Point Pleasant",0
"Polk",2713
"Pomeroy",173
"Port Allegany",4384
"Port Carbon",2271
"Port Clinton",286
"Port Matilda",5099
"Port Royal",2987
"Port Trevorton",2506
"Portage",7187
"Porters Sideling",0
"Portersville",3359
"Portland",579
"Pottersdale",97
"Potts Grove",113
"Pottstown",56268
"Pottsville",26401
"Poyntelle",0
"Presto",713
"Preston Park",82
"Pricedale",111
"Prompton",433
"Prospect",2166
"Prospect Park",6665
"Prosperity",2106
"Pulaski",3058
"Punxsutawney",14400
"Quakake",719
"Quakertown",31084
"Quarryville",10715
"Quecreek",0
"Queen",194
"Quentin",118
"Quincy",0
"Railroad",300
"Ralston",259
"Ramey",525
"Ransom",125
"Ravine",0
"Reading",190787
"Reamstown",0
"Rebersburg",1325
"Rebuck",149
"Rector",600
"Red Hill",2384
"Red Lion",18198
"Reeders",0
"Reedsville",4062
"Refton",0
"Rehrersburg",675
"Reinholds",5019
"Renfrew",3632
"Reno",417
"Renovo",2673
"Republic",1536
"Revere",0
"Revloc",610
"Rew",294
"Rexmont",0
"Reynoldsville",6559
"Rheems",296
"Rices Landing",1540
"Riceville",0
"Richboro",10349
"Richeyville",734
"Richfield",2426
"Richland",2642
"Richlandtown",1181
"Riddlesburg",147
"Ridgway",7360
"Ridley Park",11278
"Riegelsville",2482
"Rillton",322
"Rimersburg",3727
"Ringgold",287
"Ringtown",2558
"Riverside",1083
"Rixford",572
"Roaring Branch",1006
"Roaring Spring",5023
"Robertsdale",759
"Robesonia",5002
"Robinson",483
"Rochester",9887
"Rochester Mills",957
"Rock Glen",251
"Rockhill Furnace",414
"Rockton",894
"Rockwood",3740
"Rogersville",190
"Rome",3367
"Ronco",321
"Ronks",3874
"Roscoe",901
"Rossiter",1800
"Rossville",0
"Roulette",1342
"Rouseville",472
"Rouzerville",0
"Rowland",82
"Roxbury",0
"Royersford",21427
"Ruffs Dale",3230
"Rural Ridge",179
"Rural Valley",2089
"Rushland",0
"Russell",3747
"Russellton",931
"Sabinsville",557
"Sacramento",430
"Sadsburyville",397
"Saegertown",5573
"Sagamore",361
"Saint Benedict",491
"Saint Boniface",0
"Saint Clair",3524
"Saint Johns",0
"Saint Marys",14568
"Saint Michael",0
"Saint Peters",0
"Saint Petersburg",437
"Saint Thomas",3546
"Salford",0
"Salfordville",0
"Salina",279
"Salisbury",2460
"Salix",1655
"Salona",65
"Saltillo",343
"Saltsburg",4689
"Sandy Lake",2796
"Sandy Ridge",329
"Sarver",7827
"Sassamansville",220
"Saxonburg",4948
"Saxton",3076
"Saylorsburg",11057
"Sayre",10811
"Scenery Hill",1920
"Schaefferstown",927
"Schellsburg",1759
"Schenley",0
"Schnecksville",6326
"Schuylkill Haven",11014
"Schwenksville",12899
"Sciota",1028
"Scotland",87
"Scotrun",1744
"Scottdale",8396
"Scranton",95430
"Seanor",0
"Selinsgrove",15345
"Sellersville",11485
"Seltzer",307
"Seminole",78
"Seneca",3276
"Seven Valleys",4636
"Seward",2764
"Sewickley",16518
"Shade Gap",1043
"Shady Grove",0
"Shamokin",10006
"Shamokin Dam",0
"Shanksville",245
"Sharon",16371
"Sharon Hill",8923
"Sharpsville",9130
"Shartlesville",260
"Shavertown",8784
"Shawanese",0
"Shawnee On Delaware",176
"Shawville",0
"Sheakleyville",164
"Sheffield",2438
"Shelocta",3234
"Shenandoah",7864
"Sheppton",630
"Shermans Dale",5354
"Shickshinny",6665
"Shinglehouse",3187
"Shippensburg",23246
"Shippenville",3564
